"plot","censusdate","numericdate","treatment","n"
4,2017-02-25,17.222,"CC",4
11,2017-02-25,17.222,"CC",1
14,2017-02-25,17.222,"CC",0
17,2017-02-25,17.222,"CC",1
6,2017-02-25,17.222,"EC",0
13,2017-02-25,17.222,"EC",1
18,2017-02-25,17.222,"EC",0
5,2017-02-25,17.222,"XC",1
7,2017-02-25,17.222,"XC",1
24,2017-02-25,17.222,"XC",0
4,2017-03-28,17.253,"CC",2
11,2017-03-28,17.253,"CC",2
14,2017-03-28,17.253,"CC",4
17,2017-03-28,17.253,"CC",3
6,2017-03-28,17.253,"EC",0
13,2017-03-28,17.253,"EC",2
18,2017-03-28,17.253,"EC",3
5,2017-03-28,17.253,"XC",1
7,2017-03-28,17.253,"XC",3
24,2017-03-28,17.253,"XC",3
4,2017-04-29,17.285,"CC",0
11,2017-04-29,17.285,"CC",2
14,2017-04-29,17.285,"CC",2
17,2017-04-29,17.285,"CC",0
6,2017-04-29,17.285,"EC",0
13,2017-04-29,17.285,"EC",2
18,2017-04-29,17.285,"EC",0
5,2017-04-29,17.285,"XC",2
7,2017-04-29,17.285,"XC",6
24,2017-04-29,17.285,"XC",3
4,2017-05-27,17.313,"CC",4
11,2017-05-27,17.313,"CC",3
14,2017-05-27,17.313,"CC",6
17,2017-05-27,17.313,"CC",4
6,2017-05-27,17.313,"EC",1
13,2017-05-27,17.313,"EC",6
18,2017-05-27,17.313,"EC",4
5,2017-05-27,17.313,"XC",3
7,2017-05-27,17.313,"XC",5
24,2017-05-27,17.313,"XC",3
4,2017-06-24,17.341,"CC",6
11,2017-06-24,17.341,"CC",6
14,2017-06-24,17.341,"CC",2
17,2017-06-24,17.341,"CC",4
6,2017-06-24,17.341,"EC",7
13,2017-06-24,17.341,"EC",5
18,2017-06-24,17.341,"EC",4
5,2017-06-24,17.341,"XC",5
7,2017-06-24,17.341,"XC",1
24,2017-06-24,17.341,"XC",2
4,2017-08-19,17.397,"CC",9
11,2017-08-19,17.397,"CC",9
14,2017-08-19,17.397,"CC",6
17,2017-08-19,17.397,"CC",4
6,2017-08-19,17.397,"EC",9
13,2017-08-19,17.397,"EC",6
18,2017-08-19,17.397,"EC",7
5,2017-08-19,17.397,"XC",5
7,2017-08-19,17.397,"XC",5
24,2017-08-19,17.397,"XC",7
4,2017-09-14,17.423,"CC",17
11,2017-09-14,17.423,"CC",11
14,2017-09-14,17.423,"CC",8
17,2017-09-14,17.423,"CC",10
6,2017-09-14,17.423,"EC",9
13,2017-09-14,17.423,"EC",10
18,2017-09-14,17.423,"EC",8
5,2017-09-14,17.423,"XC",8
7,2017-09-14,17.423,"XC",11
24,2017-09-14,17.423,"XC",7
4,2017-10-21,17.46,"CC",6
11,2017-10-21,17.46,"CC",6
14,2017-10-21,17.46,"CC",3
17,2017-10-21,17.46,"CC",1
6,2017-10-21,17.46,"EC",2
13,2017-10-21,17.46,"EC",2
18,2017-10-21,17.46,"EC",4
5,2017-10-21,17.46,"XC",3
7,2017-10-21,17.46,"XC",7
24,2017-10-21,17.46,"XC",7
4,2017-11-18,17.488,"CC",6
11,2017-11-18,17.488,"CC",1
14,2017-11-18,17.488,"CC",1
17,2017-11-18,17.488,"CC",0
6,2017-11-18,17.488,"EC",1
13,2017-11-18,17.488,"EC",1
18,2017-11-18,17.488,"EC",2
5,2017-11-18,17.488,"XC",2
7,2017-11-18,17.488,"XC",3
24,2017-11-18,17.488,"XC",5
4,2018-03-24,17.614,"CC",3
11,2018-03-24,17.614,"CC",0
14,2018-03-24,17.614,"CC",2
17,2018-03-24,17.614,"CC",1
6,2018-03-24,17.614,"EC",1
13,2018-03-24,17.614,"EC",2
18,2018-03-24,17.614,"EC",1
5,2018-03-24,17.614,"XC",0
